timestamp,open,high,low,close,volume,trading_day,symbol
2026-08-17 14:08:00+05:30,77840.63,77840.63,77840.63,77840.63,,2026-08-17,SENSEX
2026-08-17 14:09:00+05:30,77848.0,77848.0,77844.37,77844.37,,2026-08-17,SENSEX
2026-08-17 14:10:00+05:30,77845.25,77845.25,77845.25,77845.25,,2026-08-17,SENSEX
2026-08-17 14:11:00+05:30,77841.83,77841.83,77833.19,77833.19,,2026-08-17,SENSEX
2026-08-17 14:12:00+05:30,77815.74,77815.74,77815.74,77815.74,,2026-08-17,SENSEX
2026-08-17 14:13:00+05:30,77827.66,77827.66,77813.58,77813.58,,2026-08-17,SENSEX
2026-08-17 14:14:00+05:30,77807.37,77807.37,77807.37,77807.37,,2026-08-17,SENSEX
2026-08-17 14:15:00+05:30,77810.56,77810.56,77797.96,77797.96,,2026-08-17,SENSEX
2026-08-17 14:16:00+05:30,77806.9,77806.9,77806.9,77806.9,,2026-08-17,SENSEX
2026-08-17 14:17:00+05:30,77812.65,77812.65,77812.65,77812.65,,2026-08-17,SENSEX
2026-08-17 14:18:00+05:30,77812.95,77824.3,77812.95,77824.3,,2026-08-17,SENSEX
2026-08-17 14:19:00+05:30,77845.15,77845.15,77844.22,77844.22,,2026-08-17,SENSEX
2026-08-17 14:20:00+05:30,77831.88,77831.88,77831.88,77831.88,,2026-08-17,SENSEX
2026-08-17 14:21:00+05:30,77826.72,77826.72,77819.7,77819.7,,2026-08-17,SENSEX
2026-08-17 14:22:00+05:30,77796.14,77796.14,77796.14,77796.14,,2026-08-17,SENSEX
2026-08-17 14:23:00+05:30,77803.95,77803.95,77792.45,77792.45,,2026-08-17,SENSEX
2026-08-17 14:24:00+05:30,77801.01,77801.01,77801.01,77801.01,,2026-08-17,SENSEX
2026-08-17 14:25:00+05:30,77790.38,77790.38,77786.66,77786.66,,2026-08-17,SENSEX
2026-08-17 14:26:00+05:30,77783.11,77783.11,77783.11,77783.11,,2026-08-17,SENSEX
2026-08-17 14:27:00+05:30,77787.35,77789.03,77787.35,77789.03,,2026-08-17,SENSEX
2026-08-17 14:28:00+05:30,77790.01,77790.01,77790.01,77790.01,,2026-08-17,SENSEX
2026-08-17 14:29:00+05:30,77793.72,77793.72,77793.39,77793.39,,2026-08-17,SENSEX
2026-08-17 14:30:00+05:30,77793.29,77799.02,77793.29,77799.02,,2026-08-17,SENSEX
2026-08-17 14:31:00+05:30,77798.71,77798.71,77798.71,77798.71,,2026-08-17,SENSEX
2026-08-17 14:32:00+05:30,77792.15,77801.45,77792.15,77801.45,,2026-08-17,SENSEX
2026-08-17 14:33:00+05:30,77800.12,77800.12,77800.12,77800.12,,2026-08-17,SENSEX
2026-08-17 14:34:00+05:30,77801.76,77803.17,77801.76,77803.17,,2026-08-17,SENSEX
2026-08-17 14:35:00+05:30,77785.47,77785.47,77785.47,77785.47,,2026-08-17,SENSEX
2026-08-17 14:36:00+05:30,77774.75,77774.75,77770.38,77770.38,,2026-08-17,SENSEX
2026-08-17 14:37:00+05:30,77788.06,77788.06,77788.06,77788.06,,2026-08-17,SENSEX
2026-08-17 14:38:00+05:30,77785.18,77785.18,77782.43,77782.43,,2026-08-17,SENSEX
2026-08-17 14:39:00+05:30,77792.12,77792.12,77792.12,77792.12,,2026-08-17,SENSEX
2026-08-17 14:40:00+05:30,77797.67,77811.97,77797.67,77811.97,,2026-08-17,SENSEX
2026-08-17 14:41:00+05:30,77815.73,77815.73,77815.73,77815.73,,2026-08-17,SENSEX
2026-08-17 14:42:00+05:30,77818.47,77831.79,77818.47,77831.79,,2026-08-17,SENSEX
2026-08-17 14:43:00+05:30,77824.75,77824.75,77824.75,77824.75,,2026-08-17,SENSEX
2026-08-17 14:44:00+05:30,77817.2,77823.35,77817.2,77823.35,,2026-08-17,SENSEX
2026-08-17 14:45:00+05:30,77818.84,77818.84,77818.84,77818.84,,2026-08-17,SENSEX
2026-08-17 14:48:00+05:30,77819.84,77819.84,77819.84,77819.84,,2026-08-17,SENSEX
2026-08-17 14:49:00+05:30,77832.28,77832.28,77830.41,77830.41,,2026-08-17,SENSEX
2026-08-17 14:50:00+05:30,77833.11,77833.11,77833.11,77833.11,,2026-08-17,SENSEX
2026-08-17 14:51:00+05:30,77854.29,77854.29,77845.09,77845.09,,2026-08-17,SENSEX
2026-08-17 14:52:00+05:30,77838.69,77838.69,77838.69,77838.69,,2026-08-17,SENSEX
2026-08-17 14:53:00+05:30,77830.06,77830.06,77823.05,77823.05,,2026-08-17,SENSEX
2026-08-17 14:54:00+05:30,77838.05,77838.05,77838.05,77838.05,,2026-08-17,SENSEX
2026-08-17 14:55:00+05:30,77852.06,77852.06,77850.82,77850.82,,2026-08-17,SENSEX
2026-08-17 14:56:00+05:30,77852.7,77852.7,77852.7,77852.7,,2026-08-17,SENSEX
2026-08-17 14:57:00+05:30,77843.49,77843.49,77840.14,77840.14,,2026-08-17,SENSEX
2026-08-17 14:58:00+05:30,77820.73,77820.73,77820.73,77820.73,,2026-08-17,SENSEX
2026-08-17 14:59:00+05:30,77836.96,77836.96,77836.96,77836.96,,2026-08-17,SENSEX
