timestamp,open,high,low,close,volume,trading_day,symbol
2026-08-17 14:08:00+05:30,57589.55,57589.55,57589.55,57589.55,,2026-08-17,BANKNIFTY
2026-08-17 14:09:00+05:30,57591.25,57591.25,57590.9,57590.9,,2026-08-17,BANKNIFTY
2026-08-17 14:10:00+05:30,57586.05,57586.05,57586.05,57586.05,,2026-08-17,BANKNIFTY
2026-08-17 14:11:00+05:30,57586.3,57586.3,57581.35,57581.35,,2026-08-17,BANKNIFTY
2026-08-17 14:12:00+05:30,57580.75,57580.75,57580.75,57580.75,,2026-08-17,BANKNIFTY
2026-08-17 14:13:00+05:30,57581.15,57581.15,57574.7,57574.7,,2026-08-17,BANKNIFTY
2026-08-17 14:14:00+05:30,57574.55,57574.55,57574.55,57574.55,,2026-08-17,BANKNIFTY
2026-08-17 14:15:00+05:30,57564.9,57570.9,57564.9,57570.9,,2026-08-17,BANKNIFTY
2026-08-17 14:16:00+05:30,57575.95,57575.95,57575.95,57575.95,,2026-08-17,BANKNIFTY
2026-08-17 14:17:00+05:30,57594.4,57596.6,57594.4,57596.6,,2026-08-17,BANKNIFTY
2026-08-17 14:18:00+05:30,57607.6,57607.6,57607.6,57607.6,,2026-08-17,BANKNIFTY
2026-08-17 14:19:00+05:30,57612.1,57612.95,57612.1,57612.95,,2026-08-17,BANKNIFTY
2026-08-17 14:20:00+05:30,57600.35,57600.35,57600.35,57600.35,,2026-08-17,BANKNIFTY
2026-08-17 14:21:00+05:30,57601.6,57601.6,57574.1,57574.1,,2026-08-17,BANKNIFTY
2026-08-17 14:22:00+05:30,57566.4,57566.4,57566.4,57566.4,,2026-08-17,BANKNIFTY
2026-08-17 14:23:00+05:30,57570.5,57570.5,57548.15,57548.15,,2026-08-17,BANKNIFTY
2026-08-17 14:24:00+05:30,57549.95,57549.95,57549.95,57549.95,,2026-08-17,BANKNIFTY
2026-08-17 14:25:00+05:30,57546.1,57546.1,57543.05,57543.05,,2026-08-17,BANKNIFTY
2026-08-17 14:26:00+05:30,57549.05,57549.05,57549.05,57549.05,,2026-08-17,BANKNIFTY
2026-08-17 14:27:00+05:30,57563.9,57563.9,57563.8,57563.8,,2026-08-17,BANKNIFTY
2026-08-17 14:28:00+05:30,57585.0,57585.0,57585.0,57585.0,,2026-08-17,BANKNIFTY
2026-08-17 14:29:00+05:30,57573.9,57578.3,57573.9,57578.3,,2026-08-17,BANKNIFTY
2026-08-17 14:30:00+05:30,57588.5,57588.5,57587.7,57587.7,,2026-08-17,BANKNIFTY
2026-08-17 14:31:00+05:30,57580.0,57580.0,57580.0,57580.0,,2026-08-17,BANKNIFTY
2026-08-17 14:32:00+05:30,57581.2,57583.45,57581.2,57583.45,,2026-08-17,BANKNIFTY
2026-08-17 14:33:00+05:30,57579.05,57579.05,57579.05,57579.05,,2026-08-17,BANKNIFTY
2026-08-17 14:34:00+05:30,57586.0,57587.2,57586.0,57587.2,,2026-08-17,BANKNIFTY
2026-08-17 14:35:00+05:30,57581.7,57581.7,57581.7,57581.7,,2026-08-17,BANKNIFTY
2026-08-17 14:36:00+05:30,57569.3,57569.55,57569.3,57569.55,,2026-08-17,BANKNIFTY
2026-08-17 14:37:00+05:30,57576.8,57576.8,57576.8,57576.8,,2026-08-17,BANKNIFTY
2026-08-17 14:38:00+05:30,57576.6,57576.6,57571.0,57571.0,,2026-08-17,BANKNIFTY
2026-08-17 14:39:00+05:30,57588.95,57588.95,57588.95,57588.95,,2026-08-17,BANKNIFTY
2026-08-17 14:40:00+05:30,57586.6,57597.05,57586.6,57597.05,,2026-08-17,BANKNIFTY
2026-08-17 14:41:00+05:30,57597.0,57597.0,57597.0,57597.0,,2026-08-17,BANKNIFTY
2026-08-17 14:42:00+05:30,57600.75,57621.95,57600.75,57621.95,,2026-08-17,BANKNIFTY
2026-08-17 14:43:00+05:30,57623.0,57623.0,57623.0,57623.0,,2026-08-17,BANKNIFTY
2026-08-17 14:44:00+05:30,57623.2,57623.2,57621.4,57621.4,,2026-08-17,BANKNIFTY
2026-08-17 14:45:00+05:30,57632.75,57632.75,57632.75,57632.75,,2026-08-17,BANKNIFTY
2026-08-17 14:48:00+05:30,57615.95,57615.95,57615.95,57615.95,,2026-08-17,BANKNIFTY
2026-08-17 14:49:00+05:30,57624.4,57624.95,57624.4,57624.95,,2026-08-17,BANKNIFTY
2026-08-17 14:50:00+05:30,57631.05,57631.05,57631.05,57631.05,,2026-08-17,BANKNIFTY
2026-08-17 14:51:00+05:30,57641.8,57641.8,57626.35,57626.35,,2026-08-17,BANKNIFTY
2026-08-17 14:52:00+05:30,57624.05,57624.05,57624.05,57624.05,,2026-08-17,BANKNIFTY
2026-08-17 14:53:00+05:30,57616.15,57620.2,57616.15,57620.2,,2026-08-17,BANKNIFTY
2026-08-17 14:54:00+05:30,57663.35,57663.35,57663.35,57663.35,,2026-08-17,BANKNIFTY
2026-08-17 14:55:00+05:30,57685.35,57685.35,57678.7,57678.7,,2026-08-17,BANKNIFTY
2026-08-17 14:56:00+05:30,57681.35,57681.35,57681.35,57681.35,,2026-08-17,BANKNIFTY
2026-08-17 14:57:00+05:30,57680.45,57680.45,57676.8,57676.8,,2026-08-17,BANKNIFTY
2026-08-17 14:58:00+05:30,57671.6,57671.6,57671.6,57671.6,,2026-08-17,BANKNIFTY
2026-08-17 14:59:00+05:30,57679.9,57679.9,57679.9,57679.9,,2026-08-17,BANKNIFTY
